Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
1890,,,,,Victory,New Guinea,Papua New Guinea,1925,Stratovolcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-9.2,149.07,
1913,5,29,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1926,5,24,,,Tokachi,Hokkaido-Japan,Japan,2077,Stratovolcano,Historical,3,144,Many (~101 to 1000 deaths),,,207.0,Many (~101 to 1000 deaths),,,5080,Very Many (~1001 or more houses),144,Many (~101 to 1000 deaths),,,207.0,Many (~101 to 1000 deaths),,,5080,Very Many (~1001 or more houses),43.42,142.68,
1932,1,21,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,14473,-90.88,
1964,3,3,,,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,2,25,Few (~1 to 50 deaths),,,,,,,,,25,Few (~1 to 50 deaths),,,,,,,,,-39.42,-71.93,
1967,12,4,Tsunami,,Deception Island,Antarctica,Antarctica,576,Caldera,Historical,3,,,,,,,,,,,,,,,,,,,,,-62.97,-60.65,
1974,10,22,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2,9,Few (~1 to 50 deaths),,,,,,,6,Few (~1 to 50 houses),9,Few (~1 to 50 deaths),,,,,,,6,Few (~1 to 50 houses),-7542,110442,
1977,1,10,,,Nyiragongo,Africa-C,Congo, DRC,3470,Stratovolcano,Historical,1,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-1.52,29.25
1988,12,25,,,Lonquimay,Chile-C,Chile,2865,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-38377,-71.58,
1991,6,3,,,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,1,43,Few (~1 to 50 deaths),,,,,,,,,43,Few (~1 to 50 deaths),,,,,,,,,32.75,130.3,
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,4784,Stratovolcano,Historical,1,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-171,-78598,
2008,8,22,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),2,Few (~1 to 50 houses),2,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),2,Few (~1 to 50 houses),-1467,-78442,
2011,6,22,,,Nabro,Africa-NE,Eritrea,2218,Stratovolcano,Holocene,3,31,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,31,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,13.37,41.7,
2013,9,1,,,Ubinas,Peru,Peru,5672,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-16355,-70903,
